Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
;;OUI;;6;30;;;OUI;OUI;2025-01-09T20:46:26+01:00;;;
;;OUI;;1;26;;;OUI;OUI;2025-01-09T20:47:57+01:00;;;
;;OUI;;11;9;;;OUI;OUI;2025-01-09T20:45:57+01:00;;;
;;OUI;;16;11;;;OUI;OUI;2025-01-09T20:48:01+01:00;;;
;;OUI;;41;7;;;OUI;OUI;2025-01-09T20:40:28+01:00;;;
;;OUI;;27;1;;;OUI;OUI;2025-01-09T20:48:24+01:00;;;
;;OUI;;20;7;;;OUI;OUI;2025-01-09T20:44:49+01:00;;;
;;OUI;;16;1;;;OUI;OUI;2025-01-09T20:38:58+01:00;;;
;;OUI;;40;0;;;NON;NON;2025-01-09T20:38:36+01:00;;;
;;OUI;;23;3;;;OUI;OUI;2025-01-09T20:44:50+01:00;;;
;;OUI;;22;14;;;OUI;OUI;2025-01-09T20:46:41+01:00;;;
;;OUI;;0;16;;;OUI;OUI;2025-01-09T20:45:30+01:00;;;
;;OUI;;2;21;;;OUI;OUI;2025-01-09T20:48:20+01:00;;;
;;OUI;;32;1;;;OUI;OUI;2025-01-09T20:46:11+01:00;;;
;;OUI;;18;1;;;OUI;OUI;2025-01-09T20:43:26+01:00;;;
;;OUI;;1;7;;;OUI;OUI;2025-01-09T20:42:53+01:00;;;
;;OUI;;22;2;;;OUI;OUI;2025-01-09T20:46:36+01:00;;;
;;OUI;;13;4;;;OUI;OUI;2025-01-09T20:45:39+01:00;;;
;;OUI;;1;30;;;OUI;OUI;2025-01-09T20:48:19+01:00;;;
;;OUI;;48;1;;;OUI;OUI;2025-01-09T20:46:55+01:00;;;
;;OUI;;25;4;;;OUI;OUI;2025-01-09T20:45:11+01:00;;;
;;OUI;;0;40;;;OUI;OUI;2025-01-09T20:48:01+01:00;;;
;;OUI;;28;7;;;OUI;OUI;2025-01-09T20:40:05+01:00;;;
;;OUI;;30;9;;;OUI;OUI;2025-01-09T20:48:07+01:00;;;
;;OUI;;8;8;;;OUI;OUI;2025-01-09T20:48:06+01:00;;;
;;OUI;;13;4;;;OUI;OUI;2025-01-09T20:41:44+01:00;;;
;;OUI;;4;20;;;OUI;OUI;2025-01-09T20:47:44+01:00;;;
;;OUI;;22;27;;;OUI;OUI;2025-01-09T20:47:32+01:00;;;
;;OUI;;30;3;;;OUI;OUI;2025-01-09T20:44:02+01:00;;;
;;OUI;;1;45;;;OUI;OUI;2025-01-09T20:47:45+01:00;;;
;;OUI;;23;17;;;OUI;OUI;2025-01-09T20:47:40+01:00;;;
;;OUI;;19;8;;;OUI;OUI;2025-01-09T20:45:42+01:00;;;
;;OUI;;2;22;;;OUI;OUI;2025-01-09T20:45:14+01:00;;;
;;OUI;;31;4;;;OUI;OUI;2025-01-09T20:47:30+01:00;;;
;;OUI;;5;55;;;OUI;OUI;2025-01-09T20:48:24+01:00;;;
;;OUI;;3;27;;;OUI;OUI;2025-01-09T20:48:26+01:00;;;
;;OUI;;18;4;;;OUI;OUI;2025-01-09T20:46:14+01:00;;;
;;OUI;;24;29;;;OUI;OUI;2025-01-09T20:47:25+01:00;;;
;;OUI;;30;6;;;OUI;OUI;2025-01-09T20:46:19+01:00;;;
;;OUI;;2;38;;;OUI;OUI;2025-01-09T20:45:31+01:00;;;
;;OUI;;0;23;;;OUI;OUI;2025-01-09T20:45:08+01:00;;;
;;OUI;;33;7;;;OUI;OUI;2025-01-09T20:46:23+01:00;;;
;;OUI;;35;4;;;OUI;OUI;2025-01-09T20:45:43+01:00;;;
;;OUI;;0;23;;;OUI;OUI;2025-01-09T20:41:30+01:00;;;
;;OUI;;29;5;;;OUI;OUI;2025-01-09T20:42:27+01:00;;;
;;OUI;;19;0;;;OUI;OUI;2025-01-09T20:46:12+01:00;;;
;;OUI;;2;10;;;OUI;OUI;2025-01-09T20:45:24+01:00;;;
;;OUI;;7;31;;;OUI;OUI;2025-01-09T20:48:15+01:00;;;
;;OUI;;14;3;;;OUI;OUI;2025-01-09T20:47:25+01:00;;;
;;OUI;;15;19;;;OUI;OUI;2025-01-09T20:47:18+01:00;;;
;;OUI;;35;14;;;OUI;OUI;2025-01-09T20:48:18+01:00;;;
;;OUI;;17;0;;;OUI;OUI;2025-01-09T20:39:42+01:00;;;
;;OUI;;50;8;;;OUI;OUI;2025-01-09T20:48:22+01:00;;;
;;OUI;;40;12;;;OUI;OUI;2025-01-09T20:47:55+01:00;;;
;;OUI;;11;18;;;OUI;OUI;2025-01-09T20:47:12+01:00;;;
;;OUI;;18;17;;;OUI;OUI;2025-01-09T20:43:13+01:00;;;
;;OUI;;14;2;;;OUI;OUI;2025-01-09T20:44:08+01:00;;;
;;OUI;;23;3;;;OUI;OUI;2025-01-09T20:47:13+01:00;;;
;;OUI;;16;6;;;OUI;OUI;2025-01-09T20:45:41+01:00;;;
;;OUI;;37;0;;;NON;NON;2025-01-09T20:39:42+01:00;;;
;;OUI;;24;15;;;OUI;OUI;2025-01-09T20:42:21+01:00;;;
;;OUI;;17;8;;;OUI;OUI;2025-01-09T20:45:25+01:00;;;
;;OUI;;2;16;;;OUI;OUI;2025-01-09T20:46:52+01:00;;;
;;OUI;;17;18;;;OUI;OUI;2025-01-09T20:48:08+01:00;;;
;;OUI;;20;2;;;OUI;OUI;2025-01-09T20:42:45+01:00;;;
;;OUI;;4;54;;;OUI;OUI;2025-01-09T20:48:21+01:00;;;
;;OUI;;22;5;;;OUI;OUI;2025-01-09T20:38:45+01:00;;;
;;OUI;;38;26;;;OUI;OUI;2025-01-09T09:13:21+01:00;;;
;;OUI;;34;9;;;OUI;OUI;2025-01-09T20:47:50+01:00;;;
;;OUI;;1;24;;;OUI;OUI;2025-01-09T20:44:45+01:00;;;
;;OUI;;43;7;;;OUI;OUI;2025-01-09T20:47:24+01:00;;;
;;OUI;;27;5;;;OUI;OUI;2025-01-09T20:48:20+01:00;;;
;;OUI;;16;8;;;OUI;OUI;2025-01-09T20:46:33+01:00;;;
;;OUI;;13;15;;;OUI;OUI;2025-01-09T20:48:17+01:00;;;
;;OUI;;12;8;;;OUI;OUI;2025-01-09T20:46:19+01:00;;;
;;OUI;;5;13;;;OUI;OUI;2025-01-09T20:46:47+01:00;;;
;;OUI;;24;4;;;OUI;OUI;2025-01-09T20:39:56+01:00;;;
;;OUI;;27;6;;;OUI;OUI;2025-01-09T20:48:03+01:00;;;
;;OUI;;5;20;;;OUI;OUI;2025-01-09T20:47:26+01:00;;;
;;OUI;;47;18;;;OUI;OUI;2025-01-09T20:48:24+01:00;;;
;;OUI;;14;1;;;OUI;OUI;2025-01-09T20:40:18+01:00;;;
;;OUI;;21;3;;;OUI;OUI;2025-01-09T20:43:10+01:00;;;
;;OUI;;26;4;;;OUI;OUI;2025-01-09T20:47:45+01:00;;;
;;OUI;;14;7;;;OUI;OUI;2025-01-09T20:46:44+01:00;;;
;;OUI;;1;18;;;OUI;OUI;2025-01-09T20:46:52+01:00;;;
;;OUI;;16;17;;;OUI;OUI;2025-01-09T20:48:00+01:00;;;
;;OUI;;5;30;;;OUI;OUI;2025-01-09T20:48:02+01:00;;;
;;OUI;;22;1;;;OUI;OUI;2025-01-09T20:43:50+01:00;;;
;;OUI;;11;10;;;OUI;OUI;2025-01-09T20:43:58+01:00;;;
;;OUI;;23;7;;;OUI;OUI;2025-01-09T20:43:30+01:00;;;
;;OUI;;18;19;;;OUI;OUI;2025-01-09T20:47:56+01:00;;;
;;OUI;;29;3;;;OUI;OUI;2025-01-09T20:43:49+01:00;;;
;;OUI;;8;21;;;OUI;OUI;2025-01-09T20:47:23+01:00;;;
;;OUI;;11;15;;;OUI;OUI;2025-01-09T20:39:01+01:00;;;
;;OUI;;29;1;;;OUI;OUI;2025-01-09T20:45:02+01:00;;;
;;OUI;;21;11;;;OUI;OUI;2025-01-09T20:48:13+01:00;;;
;;OUI;;31;6;;;OUI;OUI;2025-01-09T20:44:19+01:00;;;
;;OUI;;1;26;;;OUI;OUI;2025-01-09T20:44:51+01:00;;;
;;OUI;;6;18;;;OUI;OUI;2025-01-09T20:47:36+01:00;;;
;;OUI;;14;10;;;OUI;OUI;2025-01-09T20:47:29+01:00;;;
;;OUI;;29;4;;;OUI;OUI;2025-01-09T20:45:36+01:00;;;
;;OUI;;3;24;;;OUI;OUI;2025-01-09T20:47:46+01:00;;;
;;OUI;;13;6;;;OUI;OUI;2025-01-09T20:47:31+01:00;;;
;;OUI;;27;3;;;OUI;OUI;2025-01-09T20:47:45+01:00;;;
;;OUI;;8;15;;;OUI;OUI;2025-01-09T20:46:03+01:00;;;
;;OUI;;13;47;;;OUI;OUI;2025-01-09T20:47:40+01:00;;;
;;OUI;;3;17;;;OUI;OUI;2025-01-09T20:47:42+01:00;;;
;;OUI;;52;6;;;OUI;OUI;2025-01-09T20:47:00+01:00;;;
;;OUI;;14;39;;;OUI;OUI;2025-01-09T20:48:19+01:00;;;
;;OUI;;19;3;;;OUI;OUI;2025-01-09T20:47:18+01:00;;;
;;OUI;;1;28;;;OUI;OUI;2025-01-09T20:47:52+01:00;;;
;;OUI;;29;4;;;OUI;OUI;2025-01-09T20:41:05+01:00;;;
;;OUI;;15;1;;;OUI;OUI;2025-01-09T20:44:49+01:00;;;
;;OUI;;15;17;;;OUI;OUI;2025-01-09T20:46:46+01:00;;;
;;OUI;;11;9;;;OUI;OUI;2025-01-09T20:41:43+01:00;;;
;;OUI;;43;14;;;OUI;OUI;2025-01-09T20:45:34+01:00;;;
;;OUI;;22;18;;;OUI;OUI;2025-01-09T20:48:14+01:00;;;
;;OUI;;24;4;;;OUI;OUI;2025-01-09T20:38:48+01:00;;;
;;OUI;;13;11;;;OUI;OUI;2025-01-09T20:46:21+01:00;;;
;;OUI;;48;13;;;OUI;OUI;2025-01-09T20:47:18+01:00;;;
;;OUI;;18;2;;;OUI;OUI;2025-01-09T20:41:47+01:00;;;
;;OUI;;4;28;;;OUI;OUI;2025-01-09T20:48:07+01:00;;;
;;OUI;;21;3;;;OUI;OUI;2025-01-09T20:46:31+01:00;;;
;;OUI;;3;21;;;OUI;OUI;2025-01-09T20:47:47+01:00;;;
;;OUI;;14;31;;;OUI;OUI;2025-01-09T20:48:10+01:00;;;
;;OUI;;23;7;;;OUI;OUI;2025-01-09T20:48:18+01:00;;;
;;OUI;;8;18;;;OUI;OUI;2025-01-09T20:48:09+01:00;;;
;;OUI;;32;11;;;OUI;OUI;2025-01-09T20:47:24+01:00;;;
;;OUI;;11;14;;;OUI;OUI;2025-01-09T20:46:51+01:00;;;
;;OUI;;1;23;;;OUI;OUI;2025-01-09T20:46:16+01:00;;;
;;OUI;;30;34;;;OUI;OUI;2025-01-09T20:46:00+01:00;;;
;;NON;;1;0;;;NON;NON;2024-08-08T02:03:20+02:00;;;
;;OUI;;17;7;;;OUI;OUI;2025-01-09T20:47:39+01:00;;;
;;OUI;;12;24;;;OUI;OUI;2025-01-09T20:47:47+01:00;;;
;;OUI;;28;22;;;OUI;OUI;2025-01-09T20:47:37+01:00;;;
;;OUI;;12;11;;;OUI;OUI;2025-01-09T20:47:33+01:00;;;
;;OUI;;38;0;;;OUI;OUI;2025-01-09T20:45:00+01:00;;;
;;OUI;;48;2;;;OUI;OUI;2025-01-09T20:47:16+01:00;;;
;;OUI;;19;7;;;OUI;OUI;2025-01-09T20:45:50+01:00;;;
;;OUI;;19;1;;;OUI;OUI;2025-01-09T20:46:41+01:00;;;
;;OUI;;15;0;;;NON;NON;2024-08-27T09:27:42+02:00;;;
;;OUI;;36;6;;;OUI;OUI;2025-01-09T20:46:48+01:00;;;
;;OUI;;15;5;;;OUI;OUI;2025-01-09T20:39:27+01:00;;;
;;OUI;;5;17;;;OUI;OUI;2025-01-09T20:44:33+01:00;;;
;;OUI;;18;37;;;OUI;OUI;2025-01-09T20:48:00+01:00;;;
;;OUI;;26;6;;;OUI;OUI;2025-01-09T20:45:47+01:00;;;
;;OUI;;18;35;;;OUI;OUI;2025-01-09T20:47:20+01:00;;;
;;OUI;;45;6;;;OUI;OUI;2025-01-09T20:47:22+01:00;;;
;;OUI;;2;17;;;OUI;OUI;2025-01-09T20:47:46+01:00;;;
;;OUI;;1;29;;;OUI;OUI;2025-01-09T20:47:47+01:00;;;
;;OUI;;15;22;;;OUI;OUI;2025-01-09T20:46:39+01:00;;;
;;OUI;;26;22;;;OUI;OUI;2025-01-09T20:47:41+01:00;;;
;;OUI;;12;7;;;OUI;OUI;2025-01-09T20:43:15+01:00;;;
;;OUI;;8;21;;;OUI;OUI;2025-01-09T20:43:52+01:00;;;
;;OUI;;33;3;;;OUI;OUI;2025-01-09T20:48:17+01:00;;;
;;OUI;;27;5;;;OUI;OUI;2025-01-09T20:46:56+01:00;;;
;;OUI;;20;8;;;OUI;OUI;2025-01-09T20:40:20+01:00;;;
;;OUI;;22;4;;;OUI;OUI;2025-01-09T20:42:57+01:00;;;
;;OUI;;1;48;;;OUI;OUI;2025-01-09T20:47:46+01:00;;;
;;OUI;;1;50;;;OUI;OUI;2025-01-09T20:48:00+01:00;;;
;;OUI;;15;11;;;OUI;OUI;2025-01-09T20:45:27+01:00;;;
;;OUI;;41;16;;;OUI;OUI;2025-01-09T20:42:57+01:00;;;
;;OUI;;16;11;;;OUI;OUI;2025-01-09T20:48:22+01:00;;;
;;OUI;;0;0;;;NON;NON;2024-09-22T22:12:08+02:00;;;
;;NON;;1;0;;;NON;NON;2024-10-08T11:06:15+02:00;;;
;;OUI;;11;23;;;OUI;OUI;2025-01-09T20:48:01+01:00;;;
;;OUI;;22;12;;;OUI;OUI;2025-01-09T20:47:09+01:00;;;
;;OUI;;16;4;;;OUI;OUI;2025-01-09T20:46:02+01:00;;;
;;NON;;30;0;;;NON;NON;2023-11-05T09:56:42+01:00;;;
;;OUI;;23;5;;;OUI;OUI;2025-01-09T20:45:11+01:00;;;
;;OUI;;23;7;;;OUI;OUI;2025-01-09T20:47:36+01:00;;;
;;OUI;;23;3;;;OUI;OUI;2025-01-09T20:47:35+01:00;;;
;;OUI;;3;23;;;OUI;OUI;2025-01-09T20:44:19+01:00;;;
;;OUI;;34;6;;;OUI;OUI;2025-01-09T20:46:42+01:00;;;
